beer_name,beer_id
Sausa Weizen,0
Red Moon,1
Black Horse Black Beer,2
Sausa Pils,3
Cauldron DIPA,4
Caldera Ginger Beer,14
Caldera Oatmeal Stout,16
Caldera OBF 15,17
Rauch Ür Bock,62
Caldera Pale Ale,227
Pilot Rock Porter,235
Vas Deferens Ale,272
Cauldron Espresso Stout,273
Old Growth Imperial Stout,304
Dry Hop Red,312
Southside Strong,313
Caldera Märzen,314
Caldera Rose Petal (Kettle Series),336
The Highland Stagger,603
Caldera IPA,724
Dry Hop Orange,732
Alpha Beta,733
Caldera Pilsener Bier,735
Hibiscus Ginger Beer,736
Exotic Erotic Passion Fruit Ale,737
Hopportunity Knocks,797
Cauldron Brew,799
Ashland Amber,896
Hop Hash,898
Mogli,909
Welsh Honey Bitter,911
Telford Porter,912
Welsh Pride,915
Honey Fayre,917
Holiday Imperial,919
Columbus India Pale Ale,921
Holiday XXII Imperial Blue,922
Old Oakland Ale,925
Yellowjacket Ale,926
Megalodon,927
Code Blue,933
Orca Porter,934
Leviathan Imperial Stout,943
Holiday Trappist Style Ale,944
Blue Whale Ale,948
Grey Whale Ale,953
Killer Whale Stout,959
Emerald Ale,962
Schinderhannes Bock,963
Kirner Pils Premium,965
City Razz,966
City Light,967
City Stout,970
City Pumpkin,971
City Amber,972
Amstel Gold,975
Amstel Sterk (Strong),977
Amstel Oud Bruin,978
Amstel Malt,980
North Beach Ale,1189
Amstel Light,1445
Amstel Bright,1455
Amstel (Pure Filtered),1460
Amstel Lentebock,1461
Amstel Lager,1523
Amstel 1870,1528
Amstel Bock,1542
Amber IPA,1543
Red Alt Ale,1549
Gosch,1550
Kollers Naturtrüb Dunkel,1551
Kollers Naturtrüb Hell,1552
Newark IPA,1556
Nobu Special Reserve,1569
"Harboe Silver Beer 3,5%",1570
Harboe Den Glada Danskens Lättöl,1572
Harboe Bjørnebryg (Bear Beer),1587
"Harboe Pilsner 2,8%",1588
Harboe Bjørnebryg Extra Stark (Bear Beer Extra Strong),1593
Harboe Kräftöl,1594
"Netto ""24"" Fødselsdags-Bryg",1595
"Harboe Påskebryg 2,8%",1596
"Harbroe Classic Beer 2,8%",1597
"Harboe Pilsner 3,5%",1598
Harboe Classic 110,1600
Skælskør Original Black,1601
Harboe Dunkel,1603
De 5 Gaarde Falle Høstbryg,1604
Harboe Julebryg,1606
Christian Firtal Guldøl,1607
Harboe Årgangssbryg,1608
"Harboe Bjørnebryg 2,8%",1609
Christian Firtal,1610
Harboe Bear Beer Premium Strong Beer,1611
Harboe Premium Traditional Pilsner 4.6%,1612
Harboe Red Beer,1615
Harboe Vib Pilsner Classic Landlord,1616
Dansk Pilsner,1617
Harboe Vib Pilsner Håndbajer,1618
Harboe Sommarbrygg,1619
Harboe Guldøl (Harboe Beer Gold),1622
Harboe Pilsner,1624
"Harboe Classic 2,8%",1626
Amarillo Lager,1628
Replic Ale,1629
Broad Ripple Diving Duck American Brown Ale,1646
Broad Ripple Stout,1648
Limping Mallard,1650
Monon Porter,1659
Jack Daniels Barrel Aged Porter,1678
Bigger Boy's Beer,1680
Broad Ripple Ankle Biter 2003,1681
Sparky's Chocolate Milk Stout,1682
Red Bird Mild,1686
Broad Ripple Evilsizors Russian Imperial Stout,1688
"Ankle Biter Ale ""06",1692
Ankle Biter Ale '07,1693
Hopcicle Double IPA,1699
Apple Chucker,1700
Ackerman's Imperial Double Stout (Winterfest Replicale 2011),1701
Replic Ale (2010),1724
T.J.'s Best Bitter,1733
Broad Ripple Lawnmower Pale Ale,1738
Finneen's Auld Sod Stout,1741
2001 - A Stout Odyssey,1742
Herr Kevin's Alt Bier,1743
Black Heart Lager,1748
Wee Alec Heavy,1755
Lawn Mower Pale Ale,1757
Bjava Porter,1758
Dual Citizenship Ale,1760
15th Anniversary,1762
Wobbly Bob APA,1772
Broad Ripple Ankle Biter 2004,1775
Georgia Belgique,1780
Wild Wacky Wit,1798
Apparition Ale Cask With Sovereign Hops,1799
Six Degrees Belgian Golden Ale,1800
X-Extra Pale Ale,1801
Goin' Monk,1802
Ogeechee Amber Ale,1805
Rosemary IPA,1813
Bay Street Brown Ale,1818
Moon Dance Pale Ale,1819
The Captain's Porter,1848
Slow-Vannah Pale Ale,1857
Oatboy Imperial IPA,1858
Wheezy Heifer,1859
Six Degrees Belgian Golden Ale Cask With Cardamom And Lemongrass,1865
Oak-Aged Black River Imperial Stout,1866
Dixie Crystal Beer,1872
The Bomb-Dry Stout,1873
Slow-Vannah Pale Ale Cask With Citra Hops,1874
Skunk-Ape Stout,1878
Claire De Lune,1888
Peachy Sour Brown Ale,1889
Galleria Espresso Stout,1892
Mai-Rye-Bock,1893
Amarillo On My Mind,1894
Special Reserve Oud Bruin,1897
Savannah Fest Beer,1958
Apparition Ale Cask With Fuggles Hops,1959
Apparition Ale,1966
Black River Imperial Stout,1969
"The Rod ""winter"" Stout",1971
Moon Light,1973
Little Chocolate Doughnuts,1974
Houblon Wit,1976
